xmin,ymin,xmax,ymax,text
157,205,340,238,ACCELIO
161,307,182,328,3.
212,307,284,328,Place
295,307,336,328,the
347,307,540,335,accompanying
551,307,604,328,files
616,307,635,328,in
648,307,785,328,directories
797,307,932,328,consistent
942,307,993,328,with
1005,313,1063,335,your
1075,307,1285,334,implementation:
262,366,334,387,Place
346,366,599,393,ap_bookmark.IFD
612,366,630,387,in
643,366,683,387,the
695,366,810,393,Designs
822,366,986,393,subdirectory
996,366,1030,387,for
1041,366,1130,393,Output
1142,366,1267,393,Designer.
262,425,334,446,Place
346,425,608,452,ap_bookmark.mdf
619,425,638,446,in
649,425,690,446,the
700,425,774,446,forms
786,425,950,452,subdirectory
961,425,1100,446,accessible
1111,426,1134,446,to
1146,425,1248,446,Central.
262,485,334,506,Place
346,485,614,512,ap_bookmark.bmk
625,485,644,506,in
657,491,687,506,an
700,485,863,506,addressable
875,485,995,512,directory.
163,572,313,607,Running
329,572,384,599,the
399,572,533,607,Sample
211,637,244,658,To
256,643,296,658,run
308,637,352,658,this
364,637,466,664,sample,
481,637,549,664,place
561,637,812,664,ap_bookmark.dat
824,637,842,658,in
854,637,894,658,the
906,637,1018,658,collector
1028,637,1143,664,directory
1154,637,1265,658,scanned
1279,637,1307,664,by
1319,637,1421,658,Central.
162,2046,208,2064,PDF
219,2046,328,2065,Bookmark
338,2046,420,2070,Sample
1323,2047,1379,2070,Page
1387,2047,1399,2064,4
1408,2047,1429,2063,of
1436,2048,1448,2065,4
